size_band,n,zero_share,mean_recordables,var_recordables,variance_to_mean_ratio,aggregate_trir,median_establishment_trir
001-019,535187,0.7510832662228343,0.3879541169721985,1.2999491067632365,3.350780543092917,4.938927266334603,0.0
020-049,884997,0.46221738604763635,1.252213284338817,8.088438692141674,6.459313915051191,4.5815380870215305,2.545986888167526
050-099,553610,0.23922436372175357,3.0543180217120356,23.980039382903307,7.851192708957591,4.977181553474775,3.350448541533532
100-249,493919,0.10899357991897457,6.143422302037378,69.91556329589663,11.380556285819734,4.706741729764574,3.6082474226804124
250-499,170749,0.07303703096357812,12.29856104574551,181.2884564855369,14.740623379533554,4.131574224094077,3.3823954124310838
500-999,61329,0.0819188312217711,20.416214189045967,603.1566749272026,29.54302248899886,3.374856713829972,2.3805329537176783
1000+,43416,0.08128339782568639,72.25138197899392,17438.69744833889,241.36143795019657,3.1425407115071806,2.84421638326339
