naics3,year,model,n,n_params,loglik,aic,bic,delta_aic_vs_poisson,delta_aic_vs_nb2,is_best_by_aic,converged,dispersion_alpha,zero_inflation_pi,observed_zeros,expected_zeros,p_boundary_nb2_vs_poisson,p_boundary_zinb_vs_nb2,lr_zinb_vs_nb2,coef_size_band,is_best_by_aic_converged,p_boundary_zinb_vs_nb2_converged_only
623,2024,nb2,20000,12,-46105.29086649502,92234.58173299005,92329.42358362048,-44788.45492410113,0.0,True,True,0.7752918287566529,,5009,5259.951274146844,0.0,0.27864903818218,0.3444040650501847,size_band[020-049]=0.1293;size_band[050-099]=0.2632;size_band[100-249]=0.2026;size_band[250-499]=0.1095;size_band[500-999]=-0.0045;size_band[1000+]=-0.6993,True,0.27864903818218
623,2024,zip,20000,12,-65171.73530940685,130367.4706188137,130462.31246944414,-6655.566038277466,38132.88888582366,False,True,,0.1089153818534387,5009,4626.321107541258,0.0,0.27864903818218,0.3444040650501847,size_band[020-049]=0.2678;size_band[050-099]=0.3349;size_band[100-249]=0.1900;size_band[250-499]=0.0321;size_band[500-999]=-0.0799;size_band[1000+]=-1.1600,False,0.27864903818218
623,2024,zinb,20000,13,-46105.1186644625,92236.237328925,92338.98266710796,-44786.79932816618,1.6555959349498153,False,True,0.7701218015173138,0.0012842288376063,5009,5261.026680535377,0.0,0.27864903818218,0.3444040650501847,size_band[020-049]=0.1290;size_band[050-099]=0.2623;size_band[100-249]=0.2012;size_band[250-499]=0.1085;size_band[500-999]=-0.0055;size_band[1000+]=-0.6499,False,0.27864903818218
561,2024,poisson,16859,14,-28340.67134841094,56709.34269682188,56817.5996556713,0.0,16794.617451642363,False,True,,,10444,9025.99558820282,0.0,0.5,0.0,size_band[020-049]=0.0938;size_band[050-099]=-0.0006;size_band[100-249]=-0.1233;size_band[250-499]=-0.1591;size_band[500-999]=-0.4912;size_band[1000+]=-0.6575,False,
561,2024,nb2,16859,15,-19942.362622589757,39914.725245179514,40030.71484394675,-16794.617451642363,0.0,True,True,1.1478066577852368,,10444,10576.343174607278,0.0,0.5,0.0,size_band[020-049]=0.0760;size_band[050-099]=0.0064;size_band[100-249]=-0.0540;size_band[250-499]=0.0308;size_band[500-999]=-0.3183;size_band[1000+]=-0.6285,True,
561,2024,zip,16859,15,-26197.96706746331,52425.93413492662,52541.92373369385,-4283.4085618952595,12511.208889747104,False,True,,0.2456886767117921,10444,10239.821223195277,0.0,0.5,0.0,size_band[020-049]=0.1640;size_band[050-099]=0.0065;size_band[100-249]=-0.2083;size_band[250-499]=-0.3202;size_band[500-999]=-0.6729;size_band[1000+]=-0.9030,False,
561,2024,zinb,16859,16,-19942.866620082805,39917.73324016561,40041.455478850665,-16791.609456656268,3.007994986095582,False,False,1.139966125229804,0.0024214887261232,10444,10577.283933977062,0.0,0.5,0.0,size_band[020-049]=0.0760;size_band[050-099]=0.0060;size_band[100-249]=-0.0546;size_band[250-499]=0.0305;size_band[500-999]=-0.3182;size_band[1000+]=-0.6268,False,
722,2024,poisson,15085,9,-14043.206376108992,28104.412752217984,28173.005857582324,0.0,3337.1588131933822,False,True,,,11006,10426.648243025364,0.0,0.5,0.0,size_band[020-049]=0.3390;size_band[050-099]=0.5088;size_band[100-249]=0.4333;size_band[250-499]=0.4776;size_band[500-999]=0.5654;size_band[1000+]=0.7845,False,
722,2024,nb2,15085,10,-12373.6269695123,24767.2539390246,24843.468500540537,-3337.1588131933822,0.0,True,True,1.0459586248495325,,11006,11127.424901888531,0.0,0.5,0.0,size_band[020-049]=0.4023;size_band[050-099]=0.5863;size_band[100-249]=0.5785;size_band[250-499]=0.6491;size_band[500-999]=0.5947;size_band[1000+]=0.7570,True,
722,2024,zip,15085,10,-13374.554228637511,26769.108457275022,26845.32301879096,-1335.3042949429582,2001.854518250424,False,True,,0.2727857624329893,11006,11010.331894908,0.0,0.5,0.0,size_band[020-049]=0.3798;size_band[050-099]=0.5004;size_band[100-249]=0.3030;size_band[250-499]=0.2407;size_band[500-999]=0.2610;size_band[1000+]=0.4574,False,
722,2024,zinb,15085,11,-12375.325876689058,24772.651753378115,24856.48777104564,-3331.760998839869,5.39781435351324,False,False,0.9882505936145854,0.0203782731729289,11006,11131.023482853196,0.0,0.5,0.0,size_band[020-049]=0.4013;size_band[050-099]=0.5843;size_band[100-249]=0.5749;size_band[250-499]=0.6430;size_band[500-999]=0.5839;size_band[1000+]=0.7473,False,
455,2024,poisson,14654,8,-13341.481503250492,26698.963006500984,26759.702755418744,0.0,2006.652615370578,False,True,,,10534,10295.013270944986,0.0,0.5,0.0,size_band[020-049]=-0.8260;size_band[050-099]=-0.5753;size_band[100-249]=-0.6784;size_band[250-499]=-0.3290;size_band[500-999]=-0.4520;size_band[1000+]=-1.5195,False,
455,2024,nb2,14654,9,-12337.155195565205,24692.31039113041,24760.642608662885,-2006.652615370578,0.0,True,True,0.3297572531054981,,10534,10463.631856227956,0.0,0.5,0.0,size_band[020-049]=-0.9356;size_band[050-099]=-0.6927;size_band[100-249]=-0.7650;size_band[250-499]=-0.4543;size_band[500-999]=-0.3361;size_band[1000+]=-1.6245,True,
455,2024,zip,14654,9,-13299.711451209268,26617.422902418533,26685.755119951013,-81.54010408245085,1925.1125112881273,False,True,,0.0240375770881665,10534,10336.73137151144,0.0,0.5,0.0,size_band[020-049]=-0.9055;size_band[050-099]=-0.6544;size_band[100-249]=-0.7428;size_band[250-499]=-0.4317;size_band[500-999]=-0.5558;size_band[1000+]=-1.6234,False,
455,2024,zinb,14654,10,-12337.187415262342,24694.374830524685,24770.299516671883,-2004.5881759762997,2.064439394278452,False,False,0.3296670766815652,7.155479065625504e-05,10534,10463.7040366348,0.0,0.5,0.0,size_band[020-049]=-0.9357;size_band[050-099]=-0.6928;size_band[100-249]=-0.7651;size_band[250-499]=-0.4545;size_band[500-999]=-0.3363;size_band[1000+]=-1.6247,False,
444,2024,poisson,12998,8,-23571.247522126818,47158.495044253636,47218.27545048127,0.0,1714.1885473992445,False,True,,,3728,3194.232622979098,0.0,0.185499084492205,0.8003184710178175,size_band[020-049]=-0.0620;size_band[050-099]=-0.2814;size_band[100-249]=-0.3119;size_band[250-499]=-0.4348;size_band[500-999]=-1.1743;size_band[1000+]=-14.2375,False,0.185499084492205
444,2024,nb2,12998,9,-22713.153248427196,45444.30649685439,45511.55945386048,-1714.1885473992445,0.0,True,True,0.237300678949498,,3728,3674.9824757845463,0.0,0.185499084492205,0.8003184710178175,size_band[020-049]=-0.0517;size_band[050-099]=-0.2715;size_band[100-249]=-0.3080;size_band[250-499]=-0.3426;size_band[500-999]=-1.0651;size_band[1000+]=-21.2281,True,0.185499084492205
444,2024,zip,12998,9,-23390.862086620487,46799.724173240975,46866.97713024706,-358.7708710126608,1355.4176763865837,False,True,,0.0473622151150678,3728,3519.339589203548,0.0,0.185499084492205,0.8003184710178175,size_band[020-049]=-0.0432;size_band[050-099]=-0.3089;size_band[100-249]=-0.3186;size_band[250-499]=-0.4398;size_band[500-999]=-1.2258;size_band[1000+]=-30.6395,False,0.185499084492205
444,2024,zinb,12998,10,-22712.753089191687,45445.50617838337,45520.231686167914,-1712.988865870262,1.1996815289821825,False,True,0.2347634583016152,0.0011465929537628,3728,3677.337500696475,0.0,0.185499084492205,0.8003184710178175,size_band[020-049]=-0.0517;size_band[050-099]=-0.2719;size_band[100-249]=-0.3077;size_band[250-499]=-0.3221;size_band[500-999]=-1.0666;size_band[1000+]=-34.1448,False,0.185499084492205
621,2024,poisson,12670,13,-29143.343399295256,58312.68679859051,58409.49769814361,0.0,19713.763286263464,False,True,,,6478,5446.370328989952,0.0,1.2616878493807518e-07,26.58390202773444,size_band[020-049]=0.1294;size_band[050-099]=0.2115;size_band[100-249]=0.1211;size_band[250-499]=0.0483;size_band[500-999]=-0.0135;size_band[1000+]=-0.7322,False,1.2616878493807518e-07
621,2024,nb2,12670,14,-19285.461756163524,38598.92351232705,38703.18140415346,-19713.763286263464,0.0,False,True,1.0499114566668246,,6478,6623.009933476285,0.0,1.2616878493807518e-07,26.58390202773444,size_band[020-049]=0.1188;size_band[050-099]=0.1729;size_band[100-249]=0.0875;size_band[250-499]=-0.0042;size_band[500-999]=-0.0438;size_band[1000+]=-0.3838,False,1.2616878493807518e-07
621,2024,zip,12670,14,-26188.690951620563,52405.38190324113,52509.63979506754,-5907.304895349385,13806.458390914078,False,True,,0.1984557470378113,6478,6351.465066272349,0.0,1.2616878493807518e-07,26.58390202773444,size_band[020-049]=0.1250;size_band[050-099]=0.1921;size_band[100-249]=-0.0057;size_band[250-499]=-0.1244;size_band[500-999]=-0.1836;size_band[1000+]=-0.7344,False,1.2616878493807518e-07
621,2024,zinb,12670,15,-19272.169805149657,38574.339610299314,38686.04449439904,-19738.3471882912,-24.58390202773444,True,True,0.9339587622540678,0.0301208328807032,6478,6623.597877866383,0.0,1.2616878493807518e-07,26.58390202773444,size_band[020-049]=0.1161;size_band[050-099]=0.1692;size_band[100-249]=0.0802;size_band[250-499]=-0.0093;size_band[500-999]=-0.0364;size_band[1000+]=-0.2964,True,1.2616878493807518e-07
424,2024,poisson,10330,15,-24546.985179787167,49123.970359574334,49232.61247300604,0.0,12929.322475798092,False,True,,,4537,3909.658611316443,0.0,8.642993790120971e-07,22.87528959952033,size_band[020-049]=-0.0031;size_band[050-099]=0.0354;size_band[100-249]=0.1716;size_band[250-499]=0.2111;size_band[500-999]=0.1715;size_band[1000+]=-0.4323,False,8.642993790120971e-07
424,2024,nb2,10330,16,-18081.32394188812,36194.64788377624,36310.53280477006,-12929.322475798092,0.0,False,True,0.6378823938579541,,4537,4467.818314452459,0.0,8.642993790120971e-07,22.87528959952033,size_band[020-049]=-0.0080;size_band[050-099]=0.0438;size_band[100-249]=0.1827;size_band[250-499]=0.2456;size_band[500-999]=0.2396;size_band[1000+]=-0.3948,False,8.642993790120971e-07
424,2024,zip,10330,16,-23465.260240371827,46962.52048074365,47078.40540173747,-2161.449878830681,10767.872596967412,False,True,,0.1157467481415627,4537,4354.71716970376,0.0,8.642993790120971e-07,22.87528959952033,size_band[020-049]=0.0129;size_band[050-099]=0.0382;size_band[100-249]=0.1003;size_band[250-499]=0.1161;size_band[500-999]=0.0802;size_band[1000+]=-0.5176,False,8.642993790120971e-07
424,2024,zinb,10330,17,-18069.88629708836,36173.77259417672,36296.900322732654,-12950.197765397614,-20.87528959952033,True,True,0.5764615363676528,0.0210178870138886,4537,4490.436193869019,0.0,8.642993790120971e-07,22.87528959952033,size_band[020-049]=-0.0091;size_band[050-099]=0.0431;size_band[100-249]=0.1793;size_band[250-499]=0.2430;size_band[500-999]=0.2517;size_band[1000+]=-0.3520,True,8.642993790120971e-07
332,2024,poisson,9873,16,-24189.522364673467,48411.04472934693,48526.20567394872,0.0,9093.133023058406,False,True,,,3051,1999.938904905725,0.0,0.5,0.0,size_band[020-049]=-0.1686;size_band[050-099]=-0.1859;size_band[100-249]=-0.3722;size_band[250-499]=-0.6458;size_band[500-999]=-0.7016;size_band[1000+]=-1.2649,False,0.5
332,2024,nb2,9873,17,-19641.955853144264,39317.91170628853,39440.27020992792,-9093.133023058406,0.0,True,True,0.7015776875509837,,3051,3063.2695499248152,0.0,0.5,0.0,size_band[020-049]=-0.1957;size_band[050-099]=-0.2131;size_band[100-249]=-0.3756;size_band[250-499]=-0.6650;size_band[500-999]=-0.7547;size_band[1000+]=-1.2016,True,0.5
332,2024,zip,9873,17,-23260.01405622748,46554.02811245496,46676.38661609435,-1857.016616891975,7236.116406166431,False,True,,0.1470131477753455,3051,2816.505178899342,0.0,0.5,0.0,size_band[020-049]=-0.1711;size_band[050-099]=-0.2418;size_band[100-249]=-0.5113;size_band[250-499]=-0.8263;size_band[500-999]=-0.8836;size_band[1000+]=-1.4839,False,0.5
332,2024,zinb,9873,18,-19641.958788752527,39319.91757750505,39449.47364018206,-9091.12715184188,2.0058712165264296,False,True,0.7015651789579758,4.950361929572281e-06,3051,3063.274700056928,0.0,0.5,0.0,size_band[020-049]=-0.1957;size_band[050-099]=-0.2131;size_band[100-249]=-0.3756;size_band[250-499]=-0.6650;size_band[500-999]=-0.7547;size_band[1000+]=-1.2016,False,0.5
493,2024,poisson,9775,7,-33101.45749361125,66216.9149872225,66267.22807091648,0.0,27673.429642863834,False,True,,,3876,2987.7571432716277,0.0,0.5,0.0,size_band[020-049]=-0.0126;size_band[050-099]=0.0539;size_band[100-249]=0.0829;size_band[250-499]=0.3505;size_band[500-999]=0.5191;size_band[1000+]=0.6222,False,0.5
493,2024,nb2,9775,8,-19263.74267217933,38543.48534435866,38600.98601143749,-27673.429642863834,0.0,True,True,0.8028562303122974,,3876,3846.600164190229,0.0,0.5,0.0,size_band[020-049]=-0.0286;size_band[050-099]=0.0420;size_band[100-249]=0.0823;size_band[250-499]=0.3407;size_band[500-999]=0.5305;size_band[1000+]=0.5803,True,0.5
493,2024,zip,9775,8,-32020.301609640886,64056.60321928177,64114.1038863606,-2160.3117679407223,25513.11787492311,False,True,,0.143201892306763,3876,3638.201782918136,0.0,0.5,0.0,size_band[020-049]=0.0198;size_band[050-099]=0.1215;size_band[100-249]=0.0276;size_band[250-499]=0.2215;size_band[500-999]=0.3596;size_band[1000+]=0.4520,False,0.5
493,2024,zinb,9775,9,-19263.746189216057,38545.492378432114,38610.18062889579,-27671.42260879038,2.0070340734528145,False,True,0.8028365690209603,7.0151322295879636e-06,3876,3846.608242447583,0.0,0.5,0.0,size_band[020-049]=-0.0286;size_band[050-099]=0.0420;size_band[100-249]=0.0823;size_band[250-499]=0.3407;size_band[500-999]=0.5305;size_band[1000+]=0.5803,False,0.5
452,2024,poisson,9644,10,-26394.032394694645,52808.06478938929,52879.8057017823,0.0,6558.994667268373,False,True,,,1590,1331.5337111599758,0.0,6.502667805337421e-16,63.91274818385136,size_band[020-049]=0.1109;size_band[050-099]=0.1394;size_band[100-249]=0.5161;size_band[250-499]=0.5868;size_band[500-999]=0.6049;size_band[1000+]=0.7143,False,6.502667805337421e-16
452,2024,nb2,9644,11,-23113.53506106046,46249.07012212092,46327.98512575323,-6558.994667268373,0.0,False,True,0.1589176085090993,,1590,1484.7262379285444,0.0,6.502667805337421e-16,63.91274818385136,size_band[020-049]=0.2628;size_band[050-099]=0.3718;size_band[100-249]=0.6019;size_band[250-499]=0.6427;size_band[500-999]=0.6946;size_band[1000+]=1.3087,False,6.502667805337421e-16
452,2024,zip,9644,11,-26139.657027263875,52301.31405452775,52380.22905816006,-506.75073486154,6052.243932406833,False,True,,0.0121399255023735,1590,1413.9874797142695,0.0,6.502667805337421e-16,63.91274818385136,size_band[020-049]=0.1096;size_band[050-099]=0.1359;size_band[100-249]=0.5247;size_band[250-499]=0.5931;size_band[500-999]=0.6165;size_band[1000+]=0.7300,False,6.502667805337421e-16
452,2024,zinb,9644,12,-23081.578686968533,46187.157373937065,46273.24646880868,-6620.907415452224,-61.91274818385136,True,True,0.1500769849263848,0.0043536513962789,1590,1505.5376651806678,0.0,6.502667805337421e-16,63.91274818385136,size_band[020-049]=0.2637;size_band[050-099]=0.3720;size_band[100-249]=0.6048;size_band[250-499]=0.6458;size_band[500-999]=0.7097;size_band[1000+]=1.3324,True,6.502667805337421e-16
