year_from,year_to,percentile,n_matched_groups,spearman_rho,median_abs_change,median_abs_rel_change
2016.0,2017.0,p10,406,0.863113139970585,0.0,0.270421432096171
2016.0,2017.0,p25,406,0.9233599186292923,0.04302355206764891,0.12561441966219541
2016.0,2017.0,p50,406,0.9096299999583765,0.13862827089229945,0.09388930160572997
2016.0,2017.0,p75,406,0.8547537782350381,0.4368704332348057,0.09578857288382917
2016.0,2017.0,p90,406,0.8866530937440864,0.954416969505834,0.10161891174839387
2016.0,2017.0,p95,406,0.9091605712295368,1.5005437579769056,0.12710987180282393
2017.0,2018.0,p10,444,0.8933077499061348,0.0,0.2584003199679652
2017.0,2018.0,p25,444,0.9144895508584964,0.03925046799474052,0.129160869410551
2017.0,2018.0,p50,444,0.8913268821228969,0.15826914663797265,0.08632245975864504
2017.0,2018.0,p75,444,0.8488176268907557,0.3600284895746131,0.08182105826485399
2017.0,2018.0,p90,444,0.8863589414904041,0.7765308355122134,0.08334268436332953
2017.0,2018.0,p95,444,0.9143490266427741,1.0995455509510226,0.09356257999637127
2018.0,2019.0,p10,451,0.8956267388642055,0.0,0.2546023861014926
2018.0,2019.0,p25,451,0.9159761186379801,0.03535271493265557,0.1217077108381842
2018.0,2019.0,p50,451,0.9461465226985402,0.1775303124452794,0.10288685079804467
2018.0,2019.0,p75,451,0.874789971634885,0.4175992825903725,0.08437302168487712
2018.0,2019.0,p90,451,0.9079116570240553,0.8476832847430611,0.09026143652713574
2018.0,2019.0,p95,451,0.9118989593757563,1.2896264236026056,0.10706905926637197
2019.0,2020.0,p10,440,0.8692188391872248,0.0,0.30203132479516126
2019.0,2020.0,p25,440,0.8772648799103385,0.04670124858053798,0.19923361578742785
2019.0,2020.0,p50,440,0.8792790251741147,0.2878407765924227,0.16974021067753953
2019.0,2020.0,p75,440,0.8428291020427525,0.6385388010533801,0.13628203087142648
2019.0,2020.0,p90,440,0.8527940970996042,1.1564801452280826,0.12903334465037908
2019.0,2020.0,p95,440,0.864757802897024,1.715593156164723,0.13702585298149583
2020.0,2021.0,p10,438,0.8651996285965065,0.0,0.23143878067529677
2020.0,2021.0,p25,438,0.8998056994777422,0.018388289977810557,0.16048715232589655
2020.0,2021.0,p50,438,0.9318586654260088,0.19144457774717405,0.1308212538475556
2020.0,2021.0,p75,438,0.8688094421182999,0.5069571497199146,0.11712721483714669
2020.0,2021.0,p90,438,0.8735126425185775,1.0198823752063655,0.12521157115589832
2020.0,2021.0,p95,438,0.8777186104358338,1.5275905631886593,0.14222969650400435
2021.0,2022.0,p10,442,0.8477545517246164,0.0,0.28604052889552184
2021.0,2022.0,p25,442,0.9224486919086285,0.016042095066127526,0.15081812187544075
2021.0,2022.0,p50,442,0.9376296349119111,0.15796613147667313,0.10006835235199296
2021.0,2022.0,p75,442,0.9095827098255274,0.4215654697602046,0.09427291297532842
2021.0,2022.0,p90,442,0.8882778788532215,1.018677307592748,0.11030876982880473
2021.0,2022.0,p95,442,0.8846293309178783,1.4600680423510024,0.12023947832917099
2022.0,2023.0,p10,455,0.8735326672173004,0.0,0.2501445362039552
2022.0,2023.0,p25,455,0.9412829016282843,0.010955736657275256,0.1565698328061757
2022.0,2023.0,p50,455,0.941799092644918,0.18154202208335768,0.11417493014495785
2022.0,2023.0,p75,455,0.8403093826534606,0.48592238047803704,0.11499129197379683
2022.0,2023.0,p90,455,0.8922908271177653,1.0723447917123128,0.11605425115931463
2022.0,2023.0,p95,455,0.8821360265458736,1.7145531042398048,0.13566465574890657
2023.0,2024.0,p10,469,0.8909630400132592,0.0,0.24305135884404752
2023.0,2024.0,p25,469,0.9307597444456913,0.0007252539899259003,0.1350017282606301
2023.0,2024.0,p50,469,0.9346533768642141,0.10861052549155303,0.0832041234814217
2023.0,2024.0,p75,469,0.884175354376657,0.3122368481593383,0.07804313020435077
2023.0,2024.0,p90,469,0.9209161288357492,0.7435783796299056,0.09545361547342662
2023.0,2024.0,p95,469,0.8963047889359628,1.2586628195344431,0.10432889867976151
