naics3,model,count,observed,expected
623,zip,1,3181.0,2229.7965775501125
623,zip,2,2281.0,1993.9501907154047
623,zip,3,1825.0,1849.3271632418644
623,zip,4,1468.0,1698.7102849873315
623,zip,5,1164.0,1508.7042848788158
623,zip,6,905.0,1286.7463258587863
623,zip,7,725.0,1055.4069789319997
623,zip,8,548.0,837.573126098698
623,zip,9,469.0,648.5723705485489
623,zip,10+,2425.0,2264.89158964718
623,zinb,0,5009.0,5261.026680535377
623,zinb,1,3181.0,3247.2490211802815
623,zinb,2,2281.0,2240.062097931823
623,zinb,3,1825.0,1656.4059216475302
623,zinb,4,1468.0,1275.899650793995
623,zinb,5,1164.0,1008.1958488978644
623,zinb,6,905.0,810.6574126569674
623,zinb,7,725.0,660.2730090806285
623,zinb,8,548.0,543.2624348758945
623,zinb,9,469.0,450.73334027033786
623,zinb,10+,2425.0,2846.2345821293025
561,poisson,0,10444.0,9025.99558820282
561,poisson,1,2396.0,3037.9407269723447
561,poisson,2,1286.0,1697.20227489494
561,poisson,3,762.0,992.1536007039033
561,poisson,4,510.0,593.1007517907624
561,poisson,5,331.0,372.59985085324047
561,poisson,6,220.0,249.23275371861325
561,poisson,7,149.0,176.91615390380312
561,poisson,8,127.0,131.6565452918468
561,poisson,9,86.0,101.30462331980004
561,poisson,10+,548.0,480.8971303479249
561,nb2,0,10444.0,10576.343174607278
561,nb2,1,2396.0,2400.7204169686893
561,nb2,2,1286.0,1159.4992636427212
561,nb2,3,762.0,687.4221290559552
561,nb2,4,510.0,447.1964682305541
561,nb2,5,331.0,308.6908952575757
561,nb2,6,220.0,222.66397067797976
561,nb2,7,149.0,166.3241447889974
561,nb2,8,127.0,127.86494584355846
561,nb2,9,86.0,100.69875475919224
561,nb2,10+,548.0,661.575836167498
561,zip,0,10444.0,10239.821223195275
561,zip,1,2396.0,2209.409570835521
561,zip,2,1286.0,1385.3319365967616
561,zip,3,762.0,908.6059918188413
561,zip,4,510.0,587.1804699689042
561,zip,5,331.0,382.362592221851
561,zip,6,220.0,256.921595855971
561,zip,7,149.0,180.4212495383587
561,zip,8,127.0,132.57764614599324
561,zip,9,86.0,101.23975612905456
561,zip,10+,548.0,475.12796769346755
561,zinb,0,10444.0,10577.283933977062
561,zinb,1,2396.0,2398.8097846805776
561,zinb,2,1286.0,1159.6149517576316
561,zinb,3,762.0,687.704795109859
561,zinb,4,510.0,447.40563801261715
561,zinb,5,331.0,308.8195993142341
561,zinb,6,220.0,222.73710328273694
561,zinb,7,149.0,166.36334224086517
561,zinb,8,127.0,127.88459971243995
561,zinb,9,86.0,100.70762796733857
561,zinb,10+,548.0,661.6686239446389
722,poisson,0,11006.0,10426.648243025364
722,poisson,1,2144.0,2604.1991681338454
722,poisson,2,859.0,1006.779787937824
722,poisson,3,418.0,443.55103868708443
722,poisson,4,228.0,217.06139506113936
722,poisson,5,116.0,118.12137538759049
722,poisson,6,82.0,70.6267432344097
722,poisson,7,54.0,45.408887744002875
722,poisson,8,36.0,30.74753212539307
722,poisson,9,24.0,21.641735334138822
722,poisson,10+,118.0,100.21409332920916
722,nb2,0,11006.0,11127.424901888533
722,nb2,1,2144.0,2030.902317904426
722,nb2,2,859.0,783.9458664280288
722,nb2,3,418.0,389.15451105950257
722,nb2,4,228.0,219.90064072207866
722,nb2,5,116.0,135.47505200991483
722,nb2,6,82.0,89.01344024718682
722,nb2,7,54.0,61.51802887399249
722,nb2,8,36.0,44.28598890364157
722,nb2,9,24.0,32.96729192647482
722,nb2,10+,118.0,170.41196003622096
722,zip,0,11006.0,11010.331894908
722,zip,1,2144.0,2022.359880661742
722,zip,2,859.0,918.2312095311826
722,zip,3,418.0,460.5544722089055
722,zip,4,228.0,244.1914897153797
722,zip,5,116.0,137.79534982156872
722,zip,6,82.0,82.9110921637284
722,zip,7,54.0,52.84688074044008
722,zip,8,36.0,35.324809244244136
722,zip,9,24.0,24.528936648741666
722,zip,10+,118.0,95.92398435606604
722,zinb,0,11006.0,11131.023482853197
722,zinb,1,2144.0,2023.8703574942856
722,zinb,2,859.0,785.8686785417125
722,zinb,3,418.0,390.6133935754035
722,zinb,4,228.0,220.62865402240988
722,zinb,5,116.0,135.78286912084076
722,zinb,6,82.0,89.11242116380129
722,zinb,7,54.0,61.51936483850673
722,zinb,8,36.0,44.244515728468265
722,zinb,9,24.0,32.90940147860806
722,zinb,10+,118.0,169.4268611827649
455,poisson,0,10534.0,10295.013270944986
455,poisson,1,2286.0,2557.406327335063
455,poisson,2,544.0,452.6138570721127
455,poisson,3,232.0,157.80134215042344
455,poisson,4,151.0,121.43089767032563
455,poisson,5,113.0,110.1438573301958
455,poisson,6,88.0,101.06082940801252
455,poisson,7,75.0,93.1132080511637
455,poisson,8,58.0,86.76596016578333
455,poisson,9,65.0,82.16841524725741
455,poisson,10+,508.0,596.4820346246756
455,nb2,0,10534.0,10463.631856227956
455,nb2,1,2286.0,2419.55685746186
455,nb2,2,544.0,512.275289372361
455,nb2,3,232.0,189.71440861584594
455,nb2,4,151.0,130.1215519653396
455,nb2,5,113.0,110.10086423969356
455,nb2,6,88.0,96.84524260445278
455,nb2,7,75.0,85.68813767904737
455,nb2,8,58.0,75.88365749155417
455,nb2,9,65.0,67.21032427369643
455,nb2,10+,508.0,502.971810068192
455,zip,0,10534.0,10336.731371511441
455,zip,1,2286.0,2534.2493599512964
455,zip,2,544.0,450.9570331993869
455,zip,3,232.0,152.63953969867558
455,zip,4,151.0,116.53002175473497
455,zip,5,113.0,106.89154884879954
455,zip,6,88.0,99.69540968414503
455,zip,7,75.0,93.3429902385976
455,zip,8,58.0,87.92470806135091
455,zip,9,65.0,83.49991315169687
455,zip,10+,508.0,591.5381038998753
455,zinb,0,10534.0,10463.704036634801
455,zinb,1,2286.0,2419.521858195586
455,zinb,2,544.0,512.2615910132656
455,zinb,3,232.0,189.7008711683298
455,zinb,4,151.0,130.11312354951994
455,zinb,5,113.0,110.09665159633144
455,zinb,6,88.0,96.84388200539244
455,zinb,7,75.0,85.68861901710405
455,zinb,8,58.0,75.88526348807028
455,zinb,9,65.0,67.21254176633448
455,zinb,10+,508.0,502.971561565264
444,poisson,0,3728.0,3194.232622979098
444,poisson,1,2725.0,2704.4376702079953
444,poisson,2,1906.0,2017.95420098711
444,poisson,3,1292.0,1613.4686971089245
444,poisson,4,1027.0,1268.2942263903071
444,poisson,5,793.0,908.7017135146039
444,poisson,6,554.0,583.1522481912027
444,poisson,7,360.0,338.268413867988
444,poisson,8,229.0,180.6580252871065
444,poisson,9,120.0,90.93396170868404
444,poisson,10+,264.0,97.8982197569807
444,nb2,0,3728.0,3674.9824757845463
444,nb2,1,2725.0,2793.7902067525843
444,nb2,2,1906.0,1924.746688530319
444,nb2,3,1292.0,1373.158458422491
444,nb2,4,1027.0,995.2803282860908
444,nb2,5,793.0,713.623848187061
444,nb2,6,554.0,500.7367821482195
444,nb2,7,360.0,343.5000705596399
444,nb2,8,229.0,231.0365733433764
444,nb2,9,120.0,152.98704459384695
444,nb2,10+,264.0,294.1575233918247
444,zip,0,3728.0,3519.339589203548
444,zip,1,2725.0,2525.216438064042
444,zip,2,1906.0,1909.224965201326
444,zip,3,1292.0,1540.3979474190396
444,zip,4,1027.0,1231.757684003232
444,zip,5,793.0,904.9031590343432
444,zip,6,554.0,598.0718183760501
444,zip,7,360.0,357.88800361487506
444,zip,8,229.0,197.08035107947146
444,zip,9,120.0,101.99684758605883
444,zip,10+,264.0,112.1231964180138
444,zinb,0,3728.0,3677.337500696475
444,zinb,1,2725.0,2789.2659794481824
444,zinb,2,1906.0,1923.8404208335426
444,zinb,3,1292.0,1373.8863294726564
444,zinb,4,1027.0,996.5061073086351
444,zinb,5,793.0,714.6973779155084
444,zinb,6,554.0,501.41551238469003
444,zinb,7,360.0,343.7923409448217
444,zinb,8,229.0,231.0525935485595
444,zinb,9,120.0,152.84775170590416
444,zinb,10+,264.0,293.3580857410245
621,poisson,0,6478.0,5446.370328989952
621,poisson,1,2253.0,2637.9186161982125
621,poisson,2,1207.0,1427.372548843432
621,poisson,3,711.0,832.1911829402461
621,poisson,4,428.0,518.8585819938393
621,poisson,5,323.0,347.0276776176249
621,poisson,6,207.0,248.66099000032014
621,poisson,7,150.0,188.83493408637995
