model,params,loglik,n,k,converged,aic,bic,observed_zeros,expected_zeros,zero_ratio_observed_over_expected,naics3,year,naics3_title,modal_establishment_industry_description,is_best_by_aic,zero_inflation_pi,dispersion_alpha,observed_mean,observed_variance,variance_to_mean_ratio
zinb,"{'mu': 2.5385106179303616, 'alpha': 1.417999935893429, 'pi': 0.06871084827387887}",-13941.515244243474,7972,3,True,27889.030488486947,27909.981560530945,3621,4096.363450220654,0.8839547671984408,237,2024,Heavy and Civil Engineering Construction,"Pavement, highway, road, street, bridge or airport runway, construction",True,0.06871084827387887,1.417999935893429,2.0096588058203713,22.484477705964856,11.188206495971029
poisson,{'mu': 2.112774186586087},-13462.54931202684,6838,1,True,26927.09862405368,26933.928874623878,3582,3254.1969401839597,1.1007323975289307,221,2024,Utilities,Distribution of electric power,False,,,1.7315004387247732,27.347036385712002,15.793837399113064
nb2,"{'mu': 2.61354701355264, 'alpha': 1.1184430467605873}",-9873.046526460499,6838,2,True,19750.093052920998,19763.753554061397,3582,3690.563599892228,0.9705834632153749,221,2024,Utilities,Distribution of electric power,False,,1.1184430467605873,1.7315004387247732,27.347036385712002,15.793837399113064
zip,"{'mu': 2.5628713915735273, 'pi': 0.1779585982441194}",-12396.43462508411,6838,2,True,24796.86925016822,24810.52975130862,3582,3638.4509328159897,0.9844848992446631,221,2024,Utilities,Distribution of electric power,False,0.1779585982441194,,1.7315004387247732,27.347036385712002,15.793837399113064
zinb,"{'mu': 2.74672025923076, 'alpha': 0.9478023848306925, 'pi': 0.04953866111950061}",-9866.398546679395,6838,3,True,19738.79709335879,19759.287845069386,3582,3693.176194457423,0.969896861507915,221,2024,Utilities,Distribution of electric power,True,0.04953866111950061,0.9478023848306925,1.7315004387247732,27.347036385712002,15.793837399113064
poisson,{'mu': 4.761634079275788},-17761.520161164615,6813,1,True,35525.04032232923,35531.86691016,2701,1841.1541067580742,1.4670146241891464,721,2024,Accommodation,Hotels (except casino hotels),False,,,4.675766916189637,204.44690578568367,43.724785569998204
nb2,"{'mu': 4.715367062927403, 'alpha': 0.6688751622514246}",-12857.158505247884,6813,2,True,25718.317010495768,25731.970186157316,2701,2465.861510806714,1.0953575406253695,721,2024,Accommodation,Hotels (except casino hotels),True,,0.6688751622514246,4.675766916189637,204.44690578568367,43.724785569998204
zip,"{'mu': 4.999574731209021, 'pi': 0.12942613942951015}",-17310.425039373047,6813,2,True,34624.850078746094,34638.50325440764,2701,2416.9887522485706,1.1175062347672111,721,2024,Accommodation,Hotels (except casino hotels),False,0.12942613942951015,,4.675766916189637,204.44690578568367,43.724785569998204
zinb,"{'mu': 4.715366937404, 'alpha': 0.6688751702146859, 'pi': 7.420131340938353e-14}",-12857.158505247886,6813,3,True,25720.31701049577,25740.79677398809,2701,2465.861555209123,1.0953575209014261,721,2024,Accommodation,Hotels (except casino hotels),False,7.420131340938353e-14,0.6688751702146859,4.675766916189637,204.44690578568367,43.724785569998204
poisson,{'mu': 4.859608652202058},-59123.49336842472,6561,1,True,118248.98673684945,118255.77563515879,1137,702.1510559312175,1.6193096775907723,622,2024,Hospitals,General medical and surgical hospitals,False,,,34.11217802164304,5295.29697256151,155.23186379954458
