model,params,loglik,n,k,converged,aic,bic,observed_zeros,expected_zeros,zero_ratio_observed_over_expected,naics3,year,naics3_title,modal_establishment_industry_description,is_best_by_aic,zero_inflation_pi,dispersion_alpha,observed_mean,observed_variance,variance_to_mean_ratio
zinb,"{'mu': 3.3606051180301835, 'alpha': 0.8686963380779307, 'pi': 0.04372149571958134}",-25843.474599538327,20680,3,True,51692.949199076655,51716.75996606252,11856,12079.605059643061,0.9814890421881335,423,2024,"Merchant Wholesalers, Durable Goods",Office Equipment,True,0.04372149571958134,0.8686963380779307,1.2859284332688588,9.938312629307603,7.7285114569278095
poisson,{'mu': 5.997928930249252},-76105.49627411317,20494,1,True,152212.99254822635,152220.9204356657,5135,3468.8971989082693,1.480297542866386,623,2024,Nursing and Residential Care Facilities,Skilled nursing facilities,False,,,4.5230311310627505,61.83442126018047,13.671013855182464
nb2,"{'mu': 6.956706268722661, 'alpha': 0.7849937139786155}",-47337.47202432992,20494,2,True,94678.94404865985,94694.79982353856,5135,5303.594754228048,0.9682112299221874,623,2024,Nursing and Residential Care Facilities,Skilled nursing facilities,False,,0.7849937139786155,4.5230311310627505,61.83442126018047,13.671013855182464
zip,"{'mu': 6.586531370748367, 'pi': 0.09031742930407001}",-71236.39828409735,20494,2,True,142476.7965681947,142492.65234307342,5135,4737.780401449032,1.0838408632087464,623,2024,Nursing and Residential Care Facilities,Skilled nursing facilities,False,0.09031742930407001,,4.5230311310627505,61.83442126018047,13.671013855182464
zinb,"{'mu': 6.991312745911551, 'alpha': 0.762173824810751, 'pi': 0.004979768137866084}",-47326.109602476834,20494,3,True,94658.21920495367,94682.00286727175,5135,5297.5317643700055,0.9693193412329951,623,2024,Nursing and Residential Care Facilities,Skilled nursing facilities,True,0.004979768137866084,0.762173824810751,4.5230311310627505,61.83442126018047,13.671013855182464
poisson,{'mu': 2.5254526205774033},-31542.856061810864,16859,1,True,63087.71212362173,63095.44476353954,10444,10006.720863978198,1.0436985444048812,561,2024,Administrative and Support Services,Activities related to Real Estate and Facilities Support Services,False,,,1.6455898926389465,42.105427344950336,25.58682909593475
nb2,"{'mu': 3.5423378785207995, 'alpha': 1.3017012689298395}",-20356.031417650247,16859,2,True,40716.062835300494,40731.52811513613,10444,10647.299176692502,0.9809060332278879,561,2024,Administrative and Support Services,Activities related to Real Estate and Facilities Support Services,False,,1.3017012689298395,1.6455898926389465,42.105427344950336,25.58682909593475
zip,"{'mu': 2.9608437872133595, 'pi': 0.15331201146839032}",-29249.58277426508,16859,2,True,58503.16554853016,58518.63082836579,10444,10638.214867059749,0.9817436600513572,561,2024,Administrative and Support Services,Activities related to Real Estate and Facilities Support Services,False,0.15331201146839032,,1.6455898926389465,42.105427344950336,25.58682909593475
zinb,"{'mu': 3.592907281700573, 'alpha': 1.2462367437070143, 'pi': 0.014294331819314823}",-20354.710683470516,16859,3,True,40715.42136694103,40738.61928669448,10444,10646.301440708972,0.9809979604808653,561,2024,Administrative and Support Services,Activities related to Real Estate and Facilities Support Services,True,0.014294331819314823,1.2462367437070143,1.6455898926389465,42.105427344950336,25.58682909593475
poisson,{'mu': 3.7327942034764514},-14258.948015492555,15085,1,True,28519.89603098511,28527.5174871367,11006,10076.88885468254,1.0922021825104997,722,2024,Food Services and Drinking Places,Food Service Contractors,False,,,0.7171362280411004,9.252636412664987,12.902201912095705
nb2,"{'mu': 3.7206665355831943, 'alpha': 1.0936463998298913}",-12475.616628741402,15085,2,True,24955.233257482803,24970.47616978599,11006,11002.07477268019,1.0003567715545396,722,2024,Food Services and Drinking Places,Food Service Contractors,True,,1.0936463998298913,0.7171362280411004,9.252636412664987,12.902201912095705
zip,"{'mu': 4.848602584566774, 'pi': 0.2821013933904211}",-13513.49909412185,15085,2,True,27030.9981882437,27046.241100546886,11006,10934.229393873033,1.0065638467551434,722,2024,Food Services and Drinking Places,Food Service Contractors,False,0.2821013933904211,,0.7171362280411004,9.252636412664987,12.902201912095705
zinb,"{'mu': 3.720666437529822, 'alpha': 1.0936464381973872, 'pi': 5.069116357200408e-15}",-12475.616628741402,15085,3,True,24957.233257482803,24980.097625937582,11006,11002.074855040244,1.0003567640660032,722,2024,Food Services and Drinking Places,Food Service Contractors,False,5.069116357200408e-15,1.0936464381973872,0.7171362280411004,9.252636412664987,12.902201912095705
poisson,{'mu': 4.666154775023806},-13738.296933769978,14654,1,True,27478.593867539956,27486.186336154675,10534,9631.465807123113,1.0937068366280658,455,2024,General Merchandise Retailers,All Other General Merchandise Retailers,False,,,1.1132114098539647,13.082515509147827,11.752049425062973
nb2,"{'mu': 4.20919268306837, 'alpha': 0.3903042407539906}",-12489.714172322148,14654,2,True,24983.428344644297,24998.613281873735,10534,10150.32759929257,1.0377990165296902,455,2024,General Merchandise Retailers,All Other General Merchandise Retailers,True,,0.3903042407539906,1.1132114098539647,13.082515509147827,11.752049425062973
zip,"{'mu': 4.823768183373025, 'pi': 0.07237897081818878}",-13636.791431468104,14654,2,True,27277.582862936208,27292.767800165646,10534,9900.466547975035,1.0639902623734983,455,2024,General Merchandise Retailers,All Other General Merchandise Retailers,False,0.07237897081818878,,1.1132114098539647,13.082515509147827,11.752049425062973
zinb,"{'mu': 4.209192760317527, 'alpha': 0.39030423700116756, 'pi': 2.7105943342928825e-14}",-12489.714172322154,14654,3,True,24985.428344644308,25008.20575048847,10534,10150.327548337074,1.0377990217395283,455,2024,General Merchandise Retailers,All Other General Merchandise Retailers,False,2.7105943342928825e-14,0.39030423700116756,1.1132114098539647,13.082515509147827,11.752049425062973
poisson,{'mu': 4.108986302270721},-24230.040869580327,12998,1,True,48462.081739160654,48469.55428993911,3728,3839.8543428291678,0.9708701599481103,444,2024,Building Material and Garden Equipment and Supplies Dealers,Homecenter,False,,,2.344206801046315,7.062934203117309,3.0129313676442004
nb2,"{'mu': 4.311727714900127, 'alpha': 0.2723796557021605}",-23156.118930358192,12998,2,True,46316.237860716385,46331.18296227329,3728,4194.837662428828,0.8887113876634437,444,2024,Building Material and Garden Equipment and Supplies Dealers,Homecenter,False,,0.2723796557021605,2.344206801046315,7.062934203117309,3.0129313676442004
zip,"{'mu': 4.268739501866273, 'pi': 0.034413989458042506}",-24004.16361611876,12998,2,True,48012.32723223752,48027.272333794426,3728,4062.918904707439,0.9175669235437137,444,2024,Building Material and Garden Equipment and Supplies Dealers,Homecenter,False,0.034413989458042506,,2.344206801046315,7.062934203117309,3.0129313676442004
zinb,"{'mu': 4.314573972995816, 'alpha': 0.26787712302782196, 'pi': 0.0009931586120683874}",-23152.635384545607,12998,3,True,46311.270769091214,46333.688421426574,3728,4193.791123438501,0.8889331610162317,444,2024,Building Material and Garden Equipment and Supplies Dealers,Homecenter,True,0.0009931586120683874,0.26787712302782196,2.344206801046315,7.062934203117309,3.0129313676442004
poisson,{'mu': 3.088384125155329},-32197.474254519086,12670,1,True,64396.94850903817,64404.39550131149,6478,6105.073754900099,1.0610846420652298,621,2024,Ambulatory Health Care Services,Home health care agencies,False,,,2.464719810576164,67.5999786705073,27.42704399114024
nb2,"{'mu': 4.148794680258296, 'alpha': 1.1192232219720608}",-19400.469126684908,12670,2,True,38804.938253369815,38819.832237916446,6478,6675.107343607103,0.9704712848107414,621,2024,Ambulatory Health Care Services,Home health care agencies,False,,1.1192232219720608,2.464719810576164,67.5999786705073,27.42704399114024
zip,"{'mu': 3.6334474725406785, 'pi': 0.12621031102064528}",-28841.687473271006,12670,2,True,57687.37494654201,57702.26893108864,6478,6542.544959856388,0.9901345790892654,621,2024,Ambulatory Health Care Services,Home health care agencies,False,0.12621031102064528,,2.464719810576164,67.5999786705073,27.42704399114024
zinb,"{'mu': 4.2551881290034546, 'alpha': 1.0112107795717715, 'pi': 0.02558666171928916}",-19387.48645500327,12670,3,True,38780.97291000654,38803.31388682649,6478,6664.148473711016,0.972067177907974,621,2024,Ambulatory Health Care Services,Home health care agencies,True,0.02558666171928916,1.0112107795717715,2.464719810576164,67.5999786705073,27.42704399114024
poisson,{'mu': 4.7994582069496765},-27793.444336471424,10330,1,True,55588.88867294285,55596.13148050496,4537,3058.77116996536,1.4832753899832856,424,2024,"Merchant Wholesalers, Nondurable Goods",Confectionery Merchant Wholesalers,False,,,4.0456921587608905,89.64515327212632,22.15817460999868
nb2,"{'mu': 4.378756232823165, 'alpha': 0.8221979321097753}",-18590.04314066318,10330,2,True,37184.08628132636,37198.57189645059,4537,4254.066429767455,1.066508968513689,424,2024,"Merchant Wholesalers, Nondurable Goods",Confectionery Merchant Wholesalers,False,,0.8221979321097753,4.0456921587608905,89.64515327212632,22.15817460999868
zip,"{'mu': 5.360802634155606, 'pi': 0.19069276895618592}",-25631.26487333476,10330,2,True,51266.52974666952,51281.01536179375,4537,4266.70924799745,1.063348762779983,424,2024,"Merchant Wholesalers, Nondurable Goods",Confectionery Merchant Wholesalers,False,0.19069276895618592,,4.0456921587608905,89.64515327212632,22.15817460999868
zinb,"{'mu': 4.564262225395907, 'alpha': 0.710875293775994, 'pi': 0.03979793401541507}",-18574.060276234,10330,3,True,37154.120552468,37175.84897515434,4537,4299.324737657116,1.0552819981847668,424,2024,"Merchant Wholesalers, Nondurable Goods",Confectionery Merchant Wholesalers,True,0.03979793401541507,0.710875293775994,4.0456921587608905,89.64515327212632,22.15817460999868
poisson,{'mu': 3.3486315816120302},-25342.906078306438,9873,1,True,50687.812156612876,50695.009715650485,3051,2481.31918839304,1.2295878798148088,332,2024,Fabricated Metal Product Manufacturing,Machine shops,False,,,2.9446976602856276,23.029049419884128,7.820514048172393
nb2,"{'mu': 3.9347656660626433, 'alpha': 0.7590902909311903}",-19827.646416871656,9873,2,True,39659.29283374331,39673.68795181854,3051,3249.2890212003367,0.9389746434045791,332,2024,Fabricated Metal Product Manufacturing,Machine shops,True,,0.7590902909311903,2.9446976602856276,23.029049419884128,7.820514048172393
zip,"{'mu': 3.597949567137686, 'pi': 0.08897913460041967}",-24715.172233409245,9873,2,True,49434.34446681849,49448.739584893716,3051,2993.4078165587016,1.019239671628675,332,2024,Fabricated Metal Product Manufacturing,Machine shops,False,0.08897913460041967,,2.9446976602856276,23.029049419884128,7.820514048172393
zinb,"{'mu': 3.9347656413594767, 'alpha': 0.7590903076525255, 'pi': 2.077767683359932e-15}",-19827.646416871656,9873,3,True,39661.29283374331,39682.88551085615,3051,3249.2890555273,0.938974633484825,332,2024,Fabricated Metal Product Manufacturing,Machine shops,False,2.077767683359932e-15,0.7590903076525255,2.9446976602856276,23.029049419884128,7.820514048172393
poisson,{'mu': 4.5392357486512545},-34878.892480828814,9775,1,True,69759.78496165763,69766.97254504249,3876,2244.3789954427275,1.726981052607569,493,2024,Warehousing and Storage,General warehousing and storage,False,,,6.973708439897698,570.0544494188291,81.74337288858489
nb2,"{'mu': 3.6034161899266564, 'alpha': 0.8610844208955692}",-19399.489415303564,9775,2,True,38802.97883060713,38817.353997376835,3876,3681.4301014299836,1.052851716101968,493,2024,Warehousing and Storage,General warehousing and storage,True,,0.8610844208955692,6.973708439897698,570.0544494188291,81.74337288858489
zip,"{'mu': 4.858247795372781, 'pi': 0.19004704999025662}",-32838.19948619704,9775,2,True,65680.39897239408,65694.77413916378,3876,3581.1005201871185,1.0823488416900044,493,2024,Warehousing and Storage,General warehousing and storage,False,0.19004704999025662,,6.973708439897698,570.0544494188291,81.74337288858489
