naics3,size_band,n,n_with_metric,zero_share,hours_total,aggregate_trir,p10,p25,p50,p75,p90,p95,publishable
101,050-099,1,1,0.0,115000.0,1.7391304347826086,1.7391304347826086,1.7391304347826086,1.7391304347826086,1.7391304347826086,1.7391304347826086,1.7391304347826086,False
111,001-019,2594,2594,0.6750192752505783,58593946.0,4.7923039694237355,0.0,0.0,0.0,6.239276699225125,16.308988582361998,27.791977367404286,True
111,020-049,4877,4877,0.3557514865696125,309166060.0,5.1376920222096825,0.0,0.0,3.596734165377837,7.938161720199645,13.110743441012602,17.830662277299698,True
111,050-099,2836,2836,0.16748942172073342,390178611.0,5.414443386800616,0.0,1.675235793569334,4.315425375978078,7.839687359521166,12.469325672150676,15.911055185871641,True
111,100-249,2300,2300,0.0808695652173913,627030586.0,5.576442486331919,0.7147114134945676,2.283747302291262,4.535547256822173,7.719136133108526,11.75813883300957,15.050882361938699,True
111,1000+,185,185,0.0972972972972973,291333822.0,4.508230424409837,0.12309081293854046,1.0366073568887957,3.16497666960055,6.421576497030021,9.41382987915499,10.963524661639937,True
111,250-499,787,787,0.044472681067344345,443109841.0,5.0660125149420905,0.9426280523102001,2.260971228756896,4.405251059262641,7.04856196438409,10.8459874813206,13.688607102177844,True
111,500-999,350,350,0.09142857142857143,306342781.0,4.386589413380039,0.3619903196820148,1.3551135353733024,3.423481533360209,6.743317847945562,9.901831549047843,12.47445179593889,True
112,001-019,2686,2686,0.6254653760238272,54052749.0,6.9931688395718785,0.0,0.0,0.0,9.360287049775707,22.277505399966646,36.70522723113282,True
112,020-049,5587,5587,0.2606049758367639,408386540.0,6.251920055935242,0.0,0.0,4.55933980759586,9.466615463730223,15.767407818309579,20.94077465479872,True
112,050-099,4822,4822,0.059104106180008296,746493407.0,6.7914866393454965,1.5723210738446742,4.6443241400983775,7.88684999211315,7.88684999211315,8.9935719683908,12.176374842396736,True
112,100-249,1026,1026,0.04483430799220273,312365065.0,6.384196645037754,1.0823969041060635,2.638849114148676,5.135980148986091,8.57936906955765,13.25266462427501,17.238932486659415,True
112,1000+,10,10,0.1,20393769.0,3.0205304375076523,0.9616991850744288,1.3687253527050238,2.8565194934815707,3.1774109258877656,4.372433287697643,5.12908382048167,False
112,250-499,128,128,0.0703125,84898758.0,5.68677341546033,0.533858763863646,1.7333000338576936,3.841415351071827,8.404475785065191,12.98407606509294,15.564816319867864,True
112,500-999,36,36,0.08333333333333333,51949987.0,3.4302222250796714,0.6253484498409909,1.246336811416627,2.6043526434144466,4.153914438628665,6.511002682673208,7.891553467641609,True
113,001-019,328,328,0.7804878048780488,6019222.0,3.9207724852148664,0.0,0.0,0.0,0.0,10.592991001961979,18.425243340812084,True
113,020-049,757,757,0.35535006605019814,47363029.0,6.013128932273314,0.0,0.0,4.025764895330113,9.23076923076923,15.718106804639005,21.556615245620186,True
113,050-099,216,216,0.11574074074074074,29721368.0,6.311957107761661,0.0,2.0612467393198606,4.470694503841349,9.041074250298022,15.202399468603332,22.229693756155747,True
113,100-249,81,81,0.07407407407407407,23697269.0,4.371811789788942,0.7031607073796716,1.5862503816914981,2.727508284806415,5.842434047907959,9.654010973392474,10.85051784096396,True
113,1000+,4,4,0.0,10635381.0,0.8274268688634662,0.5876359880999309,0.7092899749352604,0.8287935837714062,0.9820518868781967,1.1644643234006866,1.225268468908183,False
113,250-499,7,7,0.0,4503455.0,4.396624369511852,1.5291929933407966,2.510467110810069,3.7007225660810272,6.0032670096079235,10.209004230608903,11.912929314154095,False
113,500-999,2,2,0.0,1880758.0,1.7014416527804215,1.6993972188083843,1.941206221096286,2.3442212249094556,2.747236228722625,2.9890452310105267,3.0696482317731606,False
114,001-019,49,49,0.7142857142857143,1154366.0,5.544168833801411,0.0,0.0,0.0,7.278285235998399,33.2138679279575,41.31853709410922,True
114,020-049,81,81,0.25925925925925924,6948223.0,8.980713486023692,0.0,0.0,7.097903752425117,12.81640499839795,20.472924557273007,29.759374202873904,True
114,050-099,77,77,0.2077922077922078,14593957.0,5.248747820758962,0.0,0.9760382606998195,3.3169146060334675,7.134666836539687,13.510545744535559,20.656326061698,True
114,100-249,70,70,0.04285714285714286,22830317.0,7.568883077707594,1.740912975191072,3.4890315552799755,6.352870337767449,12.040645558447427,17.101407268702246,22.618456353529858,True
115,001-019,3090,3090,0.6912621359223301,76102453.0,4.2153700354441925,0.0,0.0,0.0,5.760997980609924,13.838053268629551,21.796170395587872,True
115,020-049,4257,4257,0.44561898050270143,264638817.0,4.5563988445429,0.0,0.0,2.5295642825523306,6.646505599680967,12.3055410346561,17.51376818392229,True
115,050-099,2336,2336,0.2482876712328767,310022141.0,4.700309453059354,0.0,0.7594456047085627,3.0443644062748674,6.776983349367156,12.028709377134696,16.28817717722892,True
115,100-249,2055,2055,0.12214111922141119,560355835.0,4.911878895666358,0.0,1.3832333086282382,3.6737186758081033,7.255663471795957,11.344424854130168,15.517100505576055,True
115,1000+,256,256,0.0234375,501759168.0,4.441573053628788,0.7289665179698327,2.2210752805618093,3.9577021746671504,6.154268945907067,10.758166663236047,12.942876249768643,True
115,250-499,841,841,0.08323424494649227,444274286.0,4.744366411519032,0.3112230130744788,1.7937219730941705,4.009076549307633,7.212204361088846,10.795111356714173,14.066785973851408,True
115,500-999,444,444,0.04279279279279279,410672803.0,4.457076257859715,0.5950306311237666,1.895527006559242,4.0621267378580574,6.7190039423314385,9.327333346474461,10.888751666902719,True
123,100-249,2,2,0.0,305831.0,3.9237356579287255,1.8745038405293664,3.2287532004411386,5.485835466960759,7.742917733480379,9.097167093392152,9.548583546696076,False
128,001-019,1,1,1.0,29120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
138,050-099,1,1,0.0,101163.0,1.9770074038927277,1.9770074038927277,1.9770074038927277,1.9770074038927277,1.9770074038927277,1.9770074038927277,1.9770074038927277,False
