flag,n,share,hours,hours_share
flag_hours_missing,9897,0.0035333002030656924,-7.0,-3.6936003399526323e-13
flag_employees_missing,10322,0.0036850282606895094,69980680.0,3.692580906258806e-06
flag_negative_counts,1,3.5700719440898174e-07,268735.0,1.4179995533673868e-08
flag_hours_per_employee_high,24617,0.008788446104765903,18317683516838.0,0.9665457437848225
flag_hours_per_employee_low,22904,0.008176892780743317,4781903760.0,0.0002523205907650967
flag_no_injury_contradiction,301,0.0001074591655171035,47984935.0,2.5319596032657856e-06
