top_n_filings_by_hours,hours_share,cases_share
1,0.8881325717869676,0.0
10,0.9454243832965579,8.029294645357863e-06
100,0.9539303665960657,0.0002019131447582639
1000,0.9623369664775859,0.007103800359617938
10000,0.9704037396839906,0.0866818247154599
