year_filing_for,naics3,size_band,n,n_with_metric,zero_share,hours_total,aggregate_trir,p10,p25,p50,p75,p90,p95,publishable
2016.0,111,001-019,80,80,0.6125,1887742.0,7.628161051669137,0.0,0.0,0.0,12.753901091734948,29.52480004964193,36.16286914825536,True
2016.0,111,020-049,202,202,0.27722772277227725,14196160.0,5.071794062619751,0.0,0.0,4.175576658639334,7.957797151481342,12.789600241113334,16.546550423641015,True
2016.0,111,050-099,110,110,0.12727272727272726,15240504.0,6.220266731336444,0.0,1.825635240962439,4.1329998978523825,8.75146682312531,12.658848593741274,22.511767859750154,True
2016.0,111,100-249,115,115,0.06086956521739131,36026296.0,5.96786302982688,0.7213569341129932,1.9984956690917317,4.961583170309886,8.713452435715851,13.753662339702064,15.821693301519927,True
2016.0,111,1000+,1,1,0.0,3751797.0,8.529246118593303,8.529246118593303,8.529246118593303,8.529246118593303,8.529246118593303,8.529246118593303,8.529246118593303,False
2016.0,111,250-499,35,35,0.05714285714285714,22566488.0,5.822793515765501,0.8493350665640644,2.4793861054560713,5.208284012462003,8.521750476447341,15.029554450226692,16.892181364174057,True
2016.0,111,500-999,11,11,0.0,11396013.0,5.563349216958597,1.2443262962910593,1.5362039629130848,5.753196105908121,7.826336375778187,10.175369913500733,11.633490350852686,False
2016.0,112,001-019,139,139,0.6618705035971223,2951158.0,6.573690734281255,0.0,0.0,0.0,7.968127490039841,16.891679842665134,26.146434669485288,True
2016.0,112,020-049,464,464,0.22629310344827586,33444707.0,7.0444629698804055,0.0,1.7469570081578747,5.2158541202497135,11.18723918523626,19.043982877555383,24.76029880177021,True
2016.0,112,050-099,189,189,0.10052910052910052,29659542.0,6.392546452672803,0.6639996016002396,2.8319586534036603,5.918210333195241,8.919810900008919,12.18586460164788,15.150156480668874,True
2016.0,112,100-249,84,84,0.011904761904761904,24582122.0,8.005818212113665,2.8005092656176043,4.061922059705284,6.962914455511423,11.437751445201457,15.673099188556455,17.174929905719864,True
2016.0,112,1000+,1,1,0.0,1712537.0,4.204288724856748,4.204288724856748,4.204288724856748,4.204288724856748,4.204288724856748,4.204288724856748,4.204288724856748,False
2016.0,112,250-499,14,14,0.21428571428571427,10423190.0,4.9888757664400245,0.0,0.5820848825279946,1.5191541963359727,7.546761685291834,15.424996773334044,17.92870815423528,False
2016.0,112,500-999,3,3,0.0,5826382.0,3.9132346626088026,1.7623815604900552,2.1943101233163,2.9141910613600412,4.848305514402213,6.008774186227516,6.39559707683595,False
2016.0,113,001-019,21,21,0.9523809523809523,339596.0,1.177870175149295,0.0,0.0,0.0,0.0,0.0,0.0,False
2016.0,113,020-049,34,34,0.2647058823529412,2106792.0,7.97420912933028,0.0,0.5300147344096166,7.566184350403981,10.783754660001387,26.025255492289116,30.464204026605877,True
2016.0,113,050-099,9,9,0.1111111111111111,1339230.0,6.720279563629847,1.3872932607894566,2.070243357106628,4.900159255175793,11.538350592782761,13.23254753056535,15.74239100166622,False
2016.0,113,100-249,6,6,0.0,1465021.0,4.2320212474769985,1.5864991136574158,1.6981665817156024,2.143654402765845,5.1373114092910654,7.451711658946031,8.172759796111354,False
2016.0,114,001-019,5,5,0.8,68336.0,5.853430110044486,0.0,0.0,0.0,0.0,23.48336594911938,31.311154598825826,False
2016.0,114,020-049,8,8,0.25,804301.0,11.189840619370111,0.0,5.9523809523809526,10.403381954377897,12.396045366734509,17.322531937830096,21.216403949881453,False
2016.0,114,050-099,5,5,0.4,1102915.0,1.9947140078791203,0.0,0.0,1.3966480446927374,2.094972067039106,3.917385949290109,4.524857243373776,False
2016.0,114,100-249,9,9,0.2222222222222222,3729744.0,3.00288706141762,0.0,0.9683588737986297,3.3792488774557636,4.344312860034928,4.7623776127814335,5.061247520292387,False
2016.0,115,001-019,200,200,0.64,5505974.0,4.7584678024269635,0.0,0.0,0.0,6.38794027415657,13.796246511259008,21.194029850746222,True
2016.0,115,020-049,240,240,0.425,14274839.0,5.534213030353618,0.0,0.0,2.7885639044582797,7.132692209604492,15.786630375942096,22.635977819533025,True
2016.0,115,050-099,88,88,0.2727272727272727,11406675.0,3.7171217729969515,0.0,0.0,2.4645504678380705,6.243827449597357,9.739230722765857,11.757870818786897,True
