year_prev,year_curr,n11_flag_then_flag,n10_flag_then_noflag,n01_noflag_then_flag,n00_noflag_then_noflag,n_total,p_flag_given_prev_flag,p_flag_given_prev_noflag,odds_ratio,kappa
2016.0,2017.0,402,1396,857,126637,129292,0.2235817575083426,0.006721884951448696,42.55204401306617,0.2544631492542402
2017.0,2018.0,543,1291,1047,157051,159932,0.2960741548527808,0.006622474667611228,63.09102914379693,0.30982237483923397
2018.0,2019.0,485,1310,1169,174634,177598,0.27019498607242337,0.006649488347752882,55.30758983668432,0.27420515426270237
2019.0,2020.0,650,1429,1507,180428,184014,0.3126503126503126,0.008283178058097673,54.45926938574035,0.2988255180112132
2020.0,2021.0,1045,1769,2361,180211,185386,0.3713574982231699,0.012931884407247551,45.08932844803045,0.3247882479635807
2021.0,2022.0,759,3603,1512,177181,183055,0.17400275103163687,0.008461439452021064,24.685553595108132,0.21606421513957233
2022.0,2023.0,678,2259,2333,192072,197342,0.23084780388151174,0.012000720146086778,24.709433163189505,0.2161650024856499
2023.0,2024.0,1214,2410,2608,213628,219860,0.33498896247240617,0.01206089642797684,41.26218593284627,0.3144810889974798
pooled,pooled,5776,15467,13394,1401842,1436479,0.2719013322035494,0.009464145909233513,39.08497801351558,0.27568673393936677
