label,n_filings,n_screened_in,hours_unscreened,hours_screened,trir_numerator_screened,trir_unscreened,trir_screened,trir_ratio_screened_to_unscreened,dart_numerator_screened,dart_unscreened,dart_screened,dart_ratio_screened_to_unscreened,ltir_numerator_screened,ltir_unscreened,ltir_screened,ltir_ratio_screened_to_unscreened,severity_numerator_screened,severity_unscreened,severity_screened,severity_ratio_screened_to_unscreened
2016,214977,210031,77463038896.0,52993979352.0,1039005.0,2.729399762948334,3.9212190241410427,1.4366598390502128,618350.0,1.6226706541781526,2.3336613236486965,1.4381607984589118,306540.0,0.8051272050368852,1.1568861359283114,1.4368985778779033,26477819.0,69.27775977398572,99.92764960761802,1.442420337112886
2017,259757,255434,92404917509.0,59918331663.0,1197644.0,2.6344918275186986,3.9975879393169214,1.517403811072763,735811.0,1.617647675357117,2.456046353688344,1.5182826217990513,374964.0,0.8238197928436614,1.2515835791587735,1.519244366342009,36712914.0,80.67209625801517,122.54317829303145,1.519028065182528
2018,286884,282417,93660659695.0,66360893863.0,1349997.0,2.9199580794176256,4.068652248075582,1.3933940616322336,828683.0,1.7911468971743292,2.497504032151195,1.3943602482248654,418460.0,0.9056331684638792,1.2611644468318877,1.3925775808002427,39186194.0,84.41574964074354,118.1002597128926,1.3990311075303312
2019,290475,285825,17040948587892.0,67536059815.0,1356923.0,0.01612015895612659,4.018365903243359,249.27582377940192,842201.0,0.009992894416745906,2.494077985322277,249.585143333722,426644.0,0.0050647415286097335,1.263455407877499,249.46098448271977,40277941.0,0.47700256579469685,119.27832660161832,250.05803984072492
2020,293385,287792,101982390289.0,62600934727.0,1405556.0,2.791780023915654,4.490527197811246,1.6084817425955316,976258.0,1.9393799207835707,3.118988571839764,1.6082401072707786,635981.0,1.26557143477663,2.0318578397382914,1.6054864892687064,41278840.0,81.61426278020625,131.87930876756155,1.6158855606246558
2021,315936,307719,125498203077.0,67685564146.0,1478249.0,2.385313834464473,4.3679890051928005,1.8312009690638709,1001458.0,1.6150223272570945,2.959147973827394,1.8322644361537233,615019.0,0.9930851354384129,1.817282629641333,1.8299363919479725,42990432.0,69.11834103853971,127.02984023969488,1.8378600864980872
2022,346799,339806,129072646213.0,73648255930.0,1695705.0,2.660796149117842,4.604874829925929,1.7306379639239273,1182279.0,1.8538970651079698,3.210609633780638,1.7318165577837268,763417.0,1.1983344615462115,2.0731434583477446,1.7300207286643219,122135006.0,189.871291238249,331.67114267060145,1.7468209148818772
2023,394231,384996,225724016054.0,97650523707.0,1536350.0,1.3800135468326917,3.1466293096590285,2.280143783284553,992560.0,0.8912972731792524,2.0328820825952194,2.2808126354341245,559155.0,0.5032552671436796,1.1452165923405435,2.2756176976357083,42674039.0,38.222653268476215,87.40155685809383,2.286642851405019
2024,398620,389187,1064944034343.0,80768280752.0,1470597.0,0.28042562836106183,3.6415211177157185,12.98569299460419,941382.0,0.17934651384551928,2.3310685611608473,12.997568289332465,516431.0,0.09859522811898473,1.2787965651657431,12.97016690932031,97757235.0,18.454808108413705,242.06838152260488,13.116819210503946
